latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,stateName,countyName,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,hwm_label,files
40.404814,-74.681513,40.404814,-74.681513,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31515,"Cherry Hill Road near Princeton, NJ",NJ,Somerset County,No,40.404352,-74.68185,41420,Beden Brook,31515,312,5,3,"Seed line high in tree, used for confirmation of other marks",9/16/2021 4:00,76,2,2,N/A,23905,7,7.3,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.406112,-74.680497,40.406112,-74.680497,2021 Tropical Cyclone Ida,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Michal Niemoczynski,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31515,"Cherry Hill Road near Princeton, NJ",NJ,Somerset County,No,40.404352,-74.68185,41421,Beden Brook,31515,312,2,3,"Debris line in brush, farm access road N of Country Route 518, west of Beden Brook",9/16/2021 4:00,74.3,2,2,N/A,24398,7,0,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.406005,-74.681298,40.406005,-74.681298,2021 Tropical Cyclone Ida,Seed line,Poor: +/- 0.40 ft,NAVD88,Level Gun,Michal Niemoczynski,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31515,"Cherry Hill Road near Princeton, NJ",NJ,Somerset County,No,40.404352,-74.68185,41422,Beden Brook,31515,312,5,4,"Seed line on base of tree, near loose wash line S side of Country Route 518, W of Beden Brook and Cherry Rd",9/16/2021 4:00,75.4,2,2,N/A,24397,7,0.2,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.406102,-74.681067,40.406102,-74.681067,2021 Tropical Cyclone Ida,Other (Note in Description box),Poor: +/- 0.40 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31515,"Cherry Hill Road near Princeton, NJ",NJ,Somerset County,No,40.404352,-74.68185,41423,Beden Brook,31515,312,9,4,"Cut line N side of Country Route 518, at Cherry Hill Rd",9/16/2021 4:00,74,2,2,N/A,23909,7,0,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM4,System.Collections.Generic.HashSet`1[STNDB.file]
40.406123,-74.681138,40.406123,-74.681138,2021 Tropical Cyclone Ida,Other (Note in Description box),Poor: +/- 0.40 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31515,"Cherry Hill Road near Princeton, NJ",NJ,Somerset County,No,40.404352,-74.68185,41424,Beden Brook,31515,312,9,4,Stake in cut line near HWM3,9/16/2021 4:00,75.2,2,2,N/A,23910,7,0,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM5,System.Collections.Generic.HashSet`1[STNDB.file]
40.406026,-74.68045,40.406026,-74.68045,2021 Tropical Cyclone Ida,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31515,"Cherry Hill Road near Princeton, NJ",NJ,Somerset County,No,40.404352,-74.68185,41426,Beden Brook,31515,312,2,3,"Nail and tape in tree, N of Country Route 518, near HWM2.",9/16/2021 4:00,75,2,2,N/A,23908,7,1,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM6,System.Collections.Generic.HashSet`1[STNDB.file]
40.4066,-74.675513,40.4066,-74.675513,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31516,"North side of County Route 518, east of Beden Brook near Princeton, NJ",NJ,Somerset County,No,40.406652,-74.675712,41427,Beden Brook,31516,312,5,3,"Nail and tape in poison ivy on small tree on S side of County Route 518, across from driveway with 3 mailboxes.",9/16/2021 4:00,74.5,2,2,N/A,23902,6,2.8,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.406763,-74.675717,40.406763,-74.675717,2021 Tropical Cyclone Ida,Debris,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31516,"North side of County Route 518, east of Beden Brook near Princeton, NJ",NJ,Somerset County,No,40.406652,-74.675712,41428,Beden Brook,31516,312,2,3,"Debris line in low shrubs, N side of County Route 518 streamward side of driveway.",9/16/2021 4:00,74.2,2,2,N/A,23903,7,0,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.407349,-74.676653,40.407349,-74.676653,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31516,"North side of County Route 518, east of Beden Brook near Princeton, NJ",NJ,Somerset County,No,40.406652,-74.675712,41429,Beden Brook,31516,312,5,2,"Nail in tree with flagging on private property DS right of County Route 518 bridge, near fence",9/16/2021 4:00,73.9,2,2,N/A,23904,6,2.3,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.414561,-74.664437,40.414561,-74.664437,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Michal Niemoczynski,Tape,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31729,"Opossum Road in Skillman, NJ",NJ,Somerset County,No,40.414561,-74.664437,41431,Beden Brook,31729,312,5,3,Seed line on garage door opening,9/23/2021 4:00,67,2,2,N/A,24399,2,6,3,,Riverine,9/14/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.414561,-74.664437,40.414561,-74.664437,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Michal Niemoczynski,Tape,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJSOM31729,"Opossum Road in Skillman, NJ",NJ,Somerset County,No,40.414561,-74.664437,41432,Beden Brook,31729,312,5,2,Seed line on glass door,9/16/2021 4:00,66.8,2,2,N/A,24400,2,,3,,Riverine,9/14/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.985807,-74.090789,40.985807,-74.090789,2021 Tropical Cyclone Ida,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Other (Note in Description box),Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJBER31731,"Queens Court, Ridgewood, NJ",NJ,Bergen County,No,40.986076,-74.090996,41434,Saddle River,31731,312,2,2,"Debris line on concrete house foundation. Side of house on Queens Court. Mark on private residence, did not apply any permanent marking.",9/21/2021 4:00,84,2,2,N/A,23912,9,2.5,3,HWM1 not included due to poor quality.,Riverine,9/14/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.977334,-74.09135,40.977334,-74.09135,2021 Tropical Cyclone Ida,Other (Note in Description box),Fair: +/- 0.20 ft,NAVD88,Level Gun,Michal Niemoczynski,Stake,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJBER31733,"Fillmore Court in Paramus, NJ",NJ,Bergen County,No,40.977311,-74.091316,41435,Saddle River,31733,312,9,3,Cut line in mulch at the end of garden bed on  Fillmore Ct property.,9/21/2021 4:00,73.4,2,2,N/A,24401,7,0,3,,Riverine,9/14/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.977418,-74.091684,40.977418,-74.091684,2021 Tropical Cyclone Ida,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Michal Niemoczynski,Other (Note in Description box),Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJBER31733,"Fillmore Court in Paramus, NJ",NJ,Bergen County,No,40.977311,-74.091316,41436,Saddle River,31733,312,2,2,Debris line on house fence,9/21/2021 4:00,71.9,2,2,N/A,24402,9,,3,,Riverine,9/14/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.634414,-74.909048,40.634414,-74.909048,2021 Tropical Cyclone Ida,Seed line,Poor: +/- 0.40 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31522,"Riverside Drive in Clinton, NJ",NJ,Hunterdon County,No,40.634227,-74.909465,41449,Beaver Brook,31522,312,5,4,Large multi-trunk maple tree north side of Riverside Drive.,9/15/2021 4:00,190,2,2,N/A,23914,6,2,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.634067,-74.908528,40.634067,-74.908528,2021 Tropical Cyclone Ida,Seed line,Poor: +/- 0.40 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31522,"Riverside Drive in Clinton, NJ",NJ,Hunterdon County,No,40.634227,-74.909465,41450,Beaver Brook,31522,312,5,4,"Large tree at edge of bank behind Riverside Drive property, streamward of HWM4.",9/15/2021 4:00,190.1,2,2,N/A,23916,6,2.9,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.634613,-74.909072,40.634613,-74.909072,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31522,"Riverside Drive in Clinton, NJ",NJ,Hunterdon County,No,40.634227,-74.909465,41451,Beaver Brook,31522,312,5,3,Large tree 15 ft from west corner of garage.,9/15/2021 4:00,189.7,2,2,N/A,23922,6,1.2,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.63427,-74.908625,40.63427,-74.908625,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31522,"Riverside Drive in Clinton, NJ",NJ,Hunterdon County,No,40.634227,-74.909465,41452,Beaver Brook,31522,312,5,2,North side of utility shed.,9/15/2021 4:00,190,2,2,N/A,23923,4,1.2,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM4,System.Collections.Generic.HashSet`1[STNDB.file]
40.638451,-74.912025,40.638451,-74.912025,2021 Tropical Cyclone Ida,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31523,"Clinton Municipal Parking Lot at Water Street in Clinton, NJ",NJ,Hunterdon County,No,40.638468,-74.911772,41453,South Branch Raritan River,31523,312,5,1,"Long seed line on east side of shed behind Water Street, next to parking lot.",9/15/2021 4:00,196.5,2,2,N/A,23919,4,2.7,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.63841,-74.912079,40.63841,-74.912079,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31523,"Clinton Municipal Parking Lot at Water Street in Clinton, NJ",NJ,Hunterdon County,No,40.638468,-74.911772,41454,South Branch Raritan River,31523,312,5,2,Seed line in large ash tree 15 ft south behind shed with HWM1.,9/15/2021 4:00,196.5,2,2,N/A,23917,6,1.6,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.63834,-74.91196,40.63834,-74.91196,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31523,"Clinton Municipal Parking Lot at Water Street in Clinton, NJ",NJ,Hunterdon County,No,40.638468,-74.911772,41455,South Branch Raritan River,31523,312,5,3,Seed line in medium maple tree 50 ft from SW corner of parking lot on Water Street,9/15/2021 4:00,196.4,2,2,N/A,23920,6,2.9,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
40.63738,-74.908738,40.63738,-74.908738,2021 Tropical Cyclone Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sally Carullo,Nail and HWM tag,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31524,"East Main Street and New Street in Clinton, NJ",NJ,Hunterdon County,No,40.637653,-74.908096,41456,Beaver Brook,31524,312,5,3,Seed line on utility pole 423 z40 on E Main Street at SE corner of post office,9/15/2021 4:00,193.9,2,2,N/A,23915,6,1.4,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM1,System.Collections.Generic.HashSet`1[STNDB.file]
40.637265,-74.908667,40.637265,-74.908667,2021 Tropical Cyclone Ida,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31524,"East Main Street and New Street in Clinton, NJ",NJ,Hunterdon County,No,40.637653,-74.908096,41457,Beaver Brook,31524,312,5,2,"Line on north side of building opposite back of post office",9/15/2021 4:00,194.4,2,2,N/A,23918,4,1,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM2,System.Collections.Generic.HashSet`1[STNDB.file]
40.637314,-74.908374,40.637314,-74.908374,2021 Tropical Cyclone Ida,Debris,Good: +/- 0.10 ft,NAVD88,Level Gun,Sally Carullo,Marker,Phone/Car GPS,NAD83,Michal Niemoczynski,Michal Niemoczynski,NJHUN31524,"East Main Street and New Street in Clinton, NJ",NJ,Hunterdon County,No,40.637653,-74.908096,41458,Beaver Brook,31524,312,2,2,Line in chain fence on south side of post office on  Route 173 and New Street.,9/15/2021 4:00,195.5,2,2,N/A,23921,4,1.2,3,,Riverine,9/10/2021 4:00,0,2,510,510,HWM3,System.Collections.Generic.HashSet`1[STNDB.file]
